time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1715093196184000000,15.281,0,1.5,11.429970741271973,136.43499755859375,0,0,244.3000030517578,19.9176519,50.0614322
1715093201205000000,20.302,0,1.5,11.479961395263672,143.9669952392578,0,0,244.3000030517578,19.9176519,50.0614322
1715093206200000000,25.297,0,1.5,11.52995491027832,147.71299743652344,0,0,244.3000030517578,19.9176519,50.0614322
1715093211214000000,30.311000244140626,0,1.5,11.579935073852539,158.97999572753906,0,0,244.3000030517578,19.9176519,50.0614322
1715093216229000000,35.326,0,1.5,11.63107681274414,166.5030059814453,0,0,244.3000030517578,19.9176519,50.0614322
