time,seconds_elapsed,steps
1715093179962551300,-0.94044873046875,0
1715093192407526000,11.50452587890625,11
1715093193484216600,12.581216552734375,13
1715093194501092900,13.5980927734375,15
1715093195637598000,14.734597900390625,17
1715093196654443800,15.75144384765625,19
1715093197691247900,16.788247802734375,21
1715093198728052000,17.825052001953125,23
1715093199405969700,18.5029697265625,24
1715093200442773800,19.539773681640625,26
1715093201539384600,20.636384521484374,28
1715093202576219400,21.673219482421874,30
1715093203613023500,22.7100234375,32
1715093204669755600,23.766755615234374,34
1715093205706560000,24.80356005859375,36
1715093206743364000,25.840364013671874,38
1715093207800126700,26.897126708984374,40
1715093208836931000,27.93393115234375,42
1715093210352281300,29.44928125,45
1715093211309312500,30.4063125,47
1715093212386005000,31.4830048828125,49
1715093213442767600,32.539767578125,51
1715093214499530200,33.5965302734375,53
1715093215576190500,34.6731904296875,55
1715093216613025300,35.710025390625,57
1715093217669757400,36.76675732421875,59
1715093218806262500,37.90326245117188,61
1715093219185088300,38.28208813476562,62
1715093219843047200,38.94004711914062,63
