time,seconds_elapsed,steps
1715093602388054300,-3.79494580078125,0
1715093614905653200,8.7226533203125,11
1715093615922590500,9.739590576171874,13
1715093616979414300,10.796414306640624,15
1715093618016340500,11.833340576171874,17
1715093619013319200,12.830319091796875,19
1715093620030287000,13.847287109375,21
1715093621047254800,14.8642548828125,23
1715093622064192000,15.88119189453125,25
1715093623081154600,16.898154541015625,27
1715093624098091800,17.915091796875,29
1715093625115059700,18.932059814453126,31
1715093625593605600,19.410605712890625,32
1715093626530800600,20.347800537109375,34
1715093627527809800,21.344809814453125,36
1715093628544777700,22.36177783203125,38
1715093629541787000,23.358786865234375,40
1715093630598610700,24.415610595703125,42
1715093631615548000,25.4325478515625,44
1715093632632493600,26.44949365234375,46
1715093633669389300,27.486389404296876,48
1715093634666368000,28.483367919921875,50
1715093635643449300,29.460449462890626,52
1715093636680345000,30.497344970703125,54
1715093637697282300,31.5142822265625,56
1715093638774034000,32.591033935546875,58
1715093639810930000,33.62792993164062,60
1715093640967454500,34.784454345703125,62
1715093641446008600,35.263008544921874,63
1715093642682311000,36.499310791015624,65
