time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1713358288985000000,0.219,45,1.5,4.5788350105285645,25.613000869750977,0,0,255.81310323021864,19.9168296,50.0656328
1713358295386111000,6.620111083984375,45,0.418993204832077,4.633565425872803,43.867000579833984,1.3157576322555542,219.70388793945312,254.03627862890772,19.9168,50.0656105
1713358295523958800,6.757958740234375,45,0.418993204832077,9.958114624023438,43.869998931884766,1.3353815078735352,220.906982421875,256.29734302866495,19.9168101,50.0656192
1713358295825243400,7.059243408203125,45,0.44209563732147217,9.958114624023438,43.88600158691406,1.3509243726730347,222.63226318359375,256.29734302866495,19.9167996,50.0656118
1713358296422964000,7.6569638671875,45,0.30943563580513,9.958114624023438,43.854000091552734,1.4228018522262573,240.68255615234375,256.29734302866495,19.9167987,50.065613
1713358296862329600,8.09632958984375,45,0.33657553791999817,9.971639633178711,43.867000579833984,1.3868720531463623,245.93336486816406,256.85923592613517,19.9167985,50.0656144
1713358300428781000,11.662781005859374,45,0.21329163014888763,8.415743827819824,41.85100173950195,0.16203470528125763,85.6365966796875,255.30891780191843,19.9167513,50.0656135
1713358300600072200,11.834072265625,45,0.21329163014888763,8.415743827819824,39.83399963378906,0.2043345868587494,83.67610168457031,255.30891780191843,19.9167452,50.0656178
1713358301318362400,12.5523623046875,45,0.23177112638950348,8.415743827819824,37.597999572753906,0.15124963223934174,86.46257019042969,255.30891780191843,19.9167405,50.0656218
1713358301776534500,13.010534423828124,45,0.23219268023967743,8.426905632019043,35.38800048828125,0.1753930300474167,87.28318786621094,255.20683734702698,19.9167369,50.0656244
1713358302424644000,13.65864404296875,45,0.22077572345733643,8.426905632019043,32.948001861572266,0.11702032387256622,95.1628189086914,255.20683734702698,19.9167336,50.0656293
1713358302783483600,14.017483642578124,45,0.23251940310001373,8.436673164367676,32.75,0.14982372522354126,95.39344787597656,254.48283815700387,19.9167307,50.0656327
1713358303461663000,14.6956630859375,45,0.3362007737159729,8.436673164367676,32.61000061035156,0.18021002411842346,98.01488494873047,254.48283815700387,19.9167281,50.0656353
1713358303840530400,15.074530517578125,45,0.33840447664260864,8.44781494140625,32.51300048828125,0.20485246181488037,98.51749420166016,254.48283815700387,19.9167257,50.0656372
1713358304537837000,15.771837158203125,45,0.60948246717453,8.44781494140625,32.327999114990234,0.5880093574523926,174.4093017578125,254.48283815700387,19.9167202,50.0656357
1713358304916697000,16.150697021484376,45,0.606679379940033,8.458576202392578,32.36899948120117,0.6695104837417603,176.7699432373047,254.70487201394627,19.9167143,50.0656329
1713358305453286700,16.68728662109375,45,0.39709219336509705,12.420339584350586,32.191001892089844,0.7653664350509644,203.17169189453125,255.15063073142124,19.9166991,50.0656281
1713358305625138200,16.85913818359375,45,0.39709219336509705,12.420339584350586,31.895000457763672,1.1802783012390137,228.8658447265625,255.15063073142124,19.9166768,50.0656142
1713358305984215800,17.2182158203125,45,0.40890786051750183,12.420339584350586,31.850000381469727,1.218183159828186,228.75860595703125,255.15063073142124,19.9166611,50.0656091
1713358306682564600,17.916564697265624,45,0.24680648744106293,12.492063522338867,31.427000045776367,1.3272770643234253,231.74099731445312,255.46739029413322,19.9166321,50.0655998
1713358307061020200,18.295020263671876,45,0.27801942825317383,12.492063522338867,31.051000595092773,1.3401203155517578,232.5886688232422,255.46739029413322,19.9166121,50.065594
1713358307740508700,18.9745087890625,45,0.22682969272136688,12.539752960205078,30.503000259399414,1.346381664276123,235.78814697265625,255.4347666679692,19.9165827,50.0655851
1713358308137107200,19.371107177734373,45,0.21692250669002533,12.539752960205078,29.753999710083008,1.3501311540603638,237.8853759765625,255.4347666679692,19.916557,50.0655786
1713358308824395800,20.058395751953125,45,0.2656359374523163,12.539752960205078,29.069000244140625,1.3473893404006958,240.003662109375,255.4347666679692,19.9165313,50.0655715
1713358309203115500,20.437115478515626,45,0.22255779802799225,12.553598403930664,27.899999618530273,1.3163050413131714,238.4848175048828,255.17378219108713,19.9165094,50.065566
1713358309822308600,21.05630859375,45,0.26250505447387695,12.553598403930664,26.878000259399414,1.3154842853546143,232.26605224609375,255.17378219108713,19.9164879,50.0655597
1713358310339907000,21.573906982421875,45,0.24072295427322388,12.565900802612305,25.66200065612793,1.2994928359985352,225.95211791992188,254.82493850776848,19.9164689,50.0655533
1713358310358147300,21.592147216796874,45,0.24072295427322388,13.776185989379883,25.19700050354004,1.2984899282455444,224.41712951660156,256.97444793852566,19.9164614,50.0655516
1713358311138032400,22.372032470703125,45,0.22812610864639282,13.776185989379883,23.69499969482422,1.1928205490112305,221.2379608154297,256.97444793852566,19.9164377,50.0655377
1713358311745938000,22.97993798828125,45,0.26914358139038086,13.786755561828613,23.104999542236328,1.1847610473632812,221.25819396972656,256.937617620589,19.9164332,50.0655356
1713358312185706000,23.4197060546875,45,0.2679674029350281,13.786755561828613,22.413999557495117,1.162211537361145,222.8317108154297,256.937617620589,19.9164287,50.065534
1713358313076252700,24.310252685546875,45,0.29628968238830566,5.2323126792907715,22.20599937438965,1.1717785596847534,244.41204833984375,254.8090510469878,19.9164197,50.0655301
1713358313480351000,24.71435107421875,45,0.2894349992275238,5.2323126792907715,22.107999801635742,1.066784381866455,251.47601318359375,254.8090510469878,19.9164136,50.0655304
