time,seconds_elapsed,steps
1715093644649047000,-3.726952880859375,0
1715093659329765400,10.953765380859375,11
1715093659987816000,11.61181591796875,12
1715093660984855800,12.608855712890625,14
1715093661981865000,13.605864990234375,16
1715093662998822400,14.622822509765625,18
1715093664015820500,15.639820556640625,20
1715093665032757800,16.6567578125,22
1715093666049756200,17.673756103515625,24
1715093667066693400,18.690693359375,26
1715093668083661000,19.7076611328125,28
1715093669100629000,20.72462890625,30
1715093670117574100,21.74157421875,32
1715093671134541300,22.758541259765625,34
1715093672151509000,23.775509033203125,36
1715093673168504800,24.7925048828125,38
1715093674185472500,25.809472412109375,40
1715093675242326800,26.866326904296876,42
1715093676259264000,27.883263916015625,44
1715093677276262400,28.900262451171876,46
1715093677635179500,29.259179443359375,47
1715093678711961900,30.3359619140625,49
1715093679689043000,31.31304296875,51
1715093680745897200,32.36989721679687,53
1715093681782793000,33.40679296875,55
1715093682839605800,34.463605712890626,57
1715093684155703600,35.77970361328125,59
