time,seconds_elapsed,steps
1715093699305943800,-10.11405615234375,0
1715093716703596800,7.2835966796875,10
1715093717700606000,8.28060595703125,11
1715093719096449500,9.676449462890625,13
1715093720133345300,10.71334521484375,15
1715093721190168800,11.7701689453125,17
1715093722187187500,12.7671875,19
1715093723184196900,13.76419677734375,21
1715093724201164500,14.78116455078125,23
1715093725198174000,15.778174072265625,25
1715093726235100200,16.81510009765625,27
1715093727252067800,17.83206787109375,29
1715093727930046500,18.51004638671875,30
1715093728946983700,19.526983642578124,32
1715093729963951400,20.543951416015624,34
1715093730980919300,21.560919189453124,36
1715093731997892900,22.577892822265625,38
1715093732994932700,23.5749326171875,40
1715093733991942000,24.57194189453125,42
1715093735008909800,25.588909912109376,44
1715093736025847000,26.605846923828125,46
1715093737042845200,27.62284521484375,48
1715093738079710500,28.65971044921875,50
1715093739096678100,29.67667822265625,52
1715093740113646000,30.69364599609375,54
1715093741150541800,31.730541748046875,56
1715093742187437000,32.76743701171875,58
1715093743244291300,33.82429125976562,60
1715093743623167000,34.2031669921875,61
1715093744739786200,35.3197861328125,63
