time,seconds_elapsed,steps
1715093479816476200,-0.09852392578125,0
1715093489532521700,9.617521728515625,12
1715093490629201400,10.714201416015625,14
1715093491705940000,11.79093994140625,16
1715093492782691600,12.867691650390626,18
1715093493879401700,13.964401611328125,20
1715093494377876000,14.4628759765625,21
1715093495454627600,15.539627685546876,23
1715093496491523300,16.5765234375,25
1715093497528388600,17.613388671875,27
1715093498585182000,18.670181884765626,29
1715093499602149600,19.687149658203126,31
1715093500619056400,20.704056396484376,33
1715093501655935700,21.740935791015627,35
1715093502712759300,22.79775927734375,37
1715093503729696800,23.81469677734375,39
1715093504786520300,24.871520263671876,41
1715093505823385600,25.908385498046876,43
1715093506381704700,26.46670458984375,44
1715093507418570000,27.503570068359377,46
1715093508455435300,28.540435302734377,48
1715093509492331000,29.5773310546875,50
1715093510509237800,30.59423779296875,52
1715093511546118000,31.631117919921873,54
1715093512563024600,32.64802465820313,56
1715093513599890000,33.68488989257813,58
1715093514656713700,34.74171362304688,60
1715093515713499400,35.79849951171875,62
1715093516750364700,36.83536474609375,64
1715093517488176000,37.57317602539062,65
