time,seconds_elapsed,steps
1715093235661689900,-5.22731005859375,0
1715093253587264500,12.698264404296875,11
1715093254723777000,13.834777099609376,13
1715093255441611500,14.552611572265626,14
1715093256538260700,15.6492607421875,16
1715093257634910000,16.745909912109376,18
1715093258751517700,17.862517578125,20
1715093259170280000,18.281280029296877,21
1715093260266929000,19.377928955078126,23
1715093261323743700,20.43474365234375,25
1715093262420423400,21.53142333984375,27
1715093263596845600,22.707845458984377,29
1715093264573896400,23.684896484375,31
1715093265610731000,24.72173095703125,33
1715093266707410700,25.81841064453125,35
1715093267664503000,26.7755029296875,37
1715093268342481700,27.453481689453124,38
1715093269419202800,28.530202880859374,40
1715093270475996000,29.586995849609377,42
1715093271552733200,30.663733154296875,44
1715093272609526500,31.720526611328125,46
1715093273686247700,32.79724755859375,48
1715093274104979500,33.2159794921875,49
1715093275281401600,34.392401611328125,51
1715093276238493700,35.34949365234375,53
1715093277335172400,36.44617236328125,55
1715093278112827600,37.22382763671875,56
