time,seconds_elapsed,steps
1715093329886717400,-1.485282470703125,0
1715093342179570400,10.8075703125,11
1715093343216405000,11.844405029296874,13
1715093344213384000,12.841384033203125,15
1715093345230290700,13.858290771484375,17
1715093346287083800,14.915083740234374,19
1715093347244176100,15.872176025390624,21
1715093348261083000,16.889082763671876,23
1715093349277989600,17.90598974609375,25
1715093349935979000,18.56397900390625,26
1715093351291875000,19.919875,29
1715093352288817000,20.91681689453125,31
1715093352966764800,21.594764892578127,32
1715093353983671600,22.611671630859377,34
1715093354980619800,23.608619873046877,36
1715093356017454600,24.64545458984375,38
1715093356994505200,25.622505126953126,40
1715093358011381500,26.639381591796877,42
1715093359028288300,27.656288330078127,44
1715093360025236500,28.653236572265627,46
1715093361042143200,29.670143310546877,48
1715093362059036700,30.68703662109375,50
1715093363075943400,31.703943359375,52
1715093364072891600,32.7008916015625,54
1715093365109757000,33.7377568359375,56
1715093366146591500,34.77459155273438,58
1715093367223312600,35.85131274414063,60
1715093367582202600,36.21020263671875,61
1715093368459521800,37.087521728515625,62
