time,seconds_elapsed,steps
1715093749275179500,-4.535820556640625,0
1715093762622613500,8.811613525390625,12
1715093763260705500,9.44970556640625,13
1715093764337488000,10.52648779296875,15
1715093765434228500,11.623228515625,17
1715093766511010800,12.7000107421875,19
1715093767567865000,13.756864990234375,21
1715093768624688600,14.813688720703125,23
1715093769681543000,15.87054296875,25
1715093770060418800,16.249418701171876,26
1715093771137201000,17.326200927734376,28
1715093772253878500,18.44287841796875,30
1715093773290774300,19.479774169921875,32
1715093774387484400,20.576484375,34
1715093775484194600,21.673194580078125,36
1715093776561007400,22.75000732421875,38
1715093777597903000,23.786903076171875,40
1715093778295809500,24.4848095703125,41
1715093779372591900,25.561591796875,43
1715093780449374200,26.638374267578126,45
1715093781506197800,27.69519775390625,47
1715093782563028700,28.75202880859375,49
1715093783599924500,29.788924560546874,51
1715093783978800000,30.167800048828123,52
1715093785035624000,31.2246240234375,54
1715093786112406000,32.30140600585938,56
1715093787189188400,33.37818823242188,58
1715093788226084000,34.415083984375,60
1715093789322794200,35.51179418945313,62
1715093790439463000,36.628462890625,64
1715093791177247700,37.36624780273438,65
1715093792353714200,38.542714111328124,67
