time,seconds_elapsed,z,y,x
1713358380141263400,0.158263427734375,0.08417367935180664,-0.1053781509399414,0.1444019079208374
1713358380151273000,0.16827294921875,0.22484970092773438,-0.20585155487060547,-0.24248388409614563
1713358380161252400,0.17825244140625,0.12752151489257812,-0.2616238594055176,-0.4245333969593048
1713358380171231500,0.1882314453125,0.167327880859375,-0.14051246643066406,-0.2290070801973343
1713358380181211000,0.1982109375,-0.21741771697998047,0.014330387115478516,-0.32240432500839233
1713358380191159600,0.20815966796875,0.39748668670654297,0.2718987464904785,-0.051735684275627136
1713358380201138700,0.218138671875,0.4224967956542969,0.25827646255493164,-0.26554059982299805
1713358380211118000,0.2281181640625,0.4188566207885742,-0.17542362213134766,0.06257939338684082
1713358380221097200,0.23809716796875,0.23027515411376953,-0.29233598709106445,-0.19035345315933228
1713358380231076600,0.24807666015625,0.17247295379638672,-0.08421039581298828,0.23308329284191132
1713358380241025300,0.258025390625,-0.03602027893066406,-0.12133359909057617,-0.2928072214126587
1713358380251004400,0.26800439453125,-0.14929866790771484,-0.23490285873413086,-0.1299637109041214
1713358380260983800,0.27798388671875,-0.5557079315185547,-0.5681228637695312,-0.14072388410568237
1713358380270932500,0.287932373046875,-0.1299581527709961,-0.5330510139465332,0.40656986832618713
1713358380280911600,0.29791162109375,-0.007030487060546875,-0.44500112533569336,-0.9172253012657166
1713358380290891000,0.30789111328125,0.05750274658203125,-0.011043071746826172,-0.2136651873588562
1713358380300839700,0.317839599609375,-0.05433464050292969,-0.015357494354248047,0.37138110399246216
1713358380310818800,0.32781884765625,0.07711982727050781,-0.3913145065307617,-0.06975772976875305
1713358380320798200,0.337798095703125,0.18416309356689453,-0.29490137100219727,-0.09956631064414978
1713358380330747000,0.347746826171875,0.29866981506347656,-0.03794717788696289,0.025757454335689545
1713358380340726300,0.357726318359375,0.34755611419677734,0.014860153198242188,-0.23824624717235565
1713358380350705400,0.367705322265625,0.525909423828125,0.06478357315063477,-0.29898351430892944
1713358380360684500,0.3776845703125,0.39881324768066406,0.16631460189819336,-0.18909227848052979
1713358380370664000,0.387663818359375,0.5476455688476562,0.1642603874206543,-0.20059888064861298
1713358380380612600,0.397612548828125,0.6138772964477539,0.1135406494140625,-0.192544624209404
1713358380390592000,0.407592041015625,0.6902170181274414,0.03476381301879883,-0.13069391250610352
1713358380400571100,0.417571044921875,0.44381141662597656,-0.16160917282104492,0.14301826059818268
1713358380410519800,0.427519775390625,0.17268085479736328,-0.47654151916503906,0.2321164309978485
1713358380420499200,0.437499267578125,0.06595039367675781,-0.3842964172363281,0.26859551668167114
1713358380430478300,0.447478271484375,0.08071613311767578,-0.09985017776489258,0.21155259013175964
1713358380440427000,0.457427001953125,-0.053844451904296875,0.025220394134521484,-0.02137446403503418
1713358380450406400,0.467406494140625,-0.03217124938964844,-0.018487930297851562,-0.1523517370223999
1713358380460385500,0.477385498046875,0.0074138641357421875,0.12568140029907227,-0.08691482245922089
1713358380470334200,0.487334228515625,0.11701488494873047,0.20127153396606445,-0.12025341391563416
1713358380480313600,0.497313720703125,0.0136566162109375,-0.05294322967529297,-0.13813625276088715
1713358380490292700,0.507292724609375,0.05748558044433594,-0.11830949783325195,-0.10763978958129883
1713358380500241700,0.51724169921875,-0.06941509246826172,0.06355810165405273,-0.03761160373687744
1713358380510220800,0.527220703125,-0.16229820251464844,0.010721206665039062,-0.14652548730373383
1713358380520200000,0.537199951171875,-0.36090660095214844,-0.10836362838745117,-0.09486295282840729
1713358380530148900,0.54714892578125,-0.15040206909179688,-0.12197351455688477,-0.11412020027637482
1713358380540128000,0.5571279296875,-0.1376800537109375,-0.09145689010620117,0.06920070946216583
1713358380550107400,0.567107421875,-0.0704803466796875,-0.13184356689453125,0.14965201914310455
1713358380560056000,0.57705615234375,-0.07176399230957031,-0.10791540145874023,0.22878117859363556
1713358380570035200,0.58703515625,0.11552810668945312,0.1640009880065918,-0.03426319360733032
1713358380580014600,0.5970146484375,-0.03297901153564453,0.055515289306640625,-0.1389005333185196
1713358380589963300,0.60696337890625,0.00010204315185546875,-0.02537393569946289,-0.2379518449306488
1713358380599942400,0.6169423828125,0.13344478607177734,0.003768444061279297,-0.2642614245414734
1713358380609891300,0.626891357421875,0.26365089416503906,0.5809307098388672,-0.04880830645561218
1713358380619870500,0.636870361328125,0.33843421936035156,0.3164992332458496,-0.17166075110435486
1713358380629849600,0.646849609375,0.346160888671875,0.2264704704284668,-0.5089483261108398
1713358380639829000,0.6568291015625,0.0869283676147461,-0.08498001098632812,-0.7508038282394409
1713358380649808100,0.66680810546875,0.09237289428710938,-0.02692890167236328,-0.30538496375083923
1713358380659756800,0.6767568359375,0.4343109130859375,0.47171735763549805,0.7398437261581421
1713358380669736200,0.686736083984375,0.22186851501464844,-0.21401262283325195,0.18689687550067902
1713358380679715300,0.69671533203125,0.1373119354248047,-0.19753599166870117,0.06383680552244186
1713358380689664300,0.706664306640625,0.3324728012084961,-0.2058582305908203,0.17812302708625793
1713358380699643400,0.716643310546875,0.6782464981079102,-0.5802826881408691,0.41181087493896484
1713358380709622500,0.72662255859375,0.4136819839477539,-0.12262248992919922,0.018697863444685936
1713358380719571500,0.736571533203125,0.5702695846557617,0.25314855575561523,-0.4672481417655945
1713358380729550600,0.746550537109375,0.35375213623046875,0.2126145362854004,-0.29705810546875
1713358380739530000,0.756530029296875,0.12007331848144531,0.1245427131652832,-0.1206316277384758
1713358380749478700,0.766478759765625,-0.043122291564941406,-0.14067649841308594,0.2871779203414917
