time,seconds_elapsed,z,y,x
1713358433525707800,16.188707763671875,2.1220765113830566,-1.1980915069580078,1.770655632019043
1713358433535687000,16.19868701171875,2.1548190116882324,-1.9177007675170898,1.1671969890594482
1713358433545635600,16.208635498046874,2.5468027591705322,-2.130441665649414,0.5527300238609314
1713358433555615000,16.218614990234375,3.6200108528137207,-1.9428281784057617,0.29907846450805664
1713358433565594000,16.228593994140624,4.417634010314941,-1.1783037185668945,0.10480868816375732
1713358433575573500,16.238573486328125,3.8337838649749756,-0.23314189910888672,0.18670451641082764
1713358433585522200,16.248522216796875,2.3158085346221924,0.47388362884521484,0.12252497673034668
1713358433595501300,16.258501220703124,0.9191803932189941,0.6786956787109375,0.2982327938079834
1713358433605480700,16.268480712890625,-0.26098179817199707,0.38123321533203125,0.5520297884941101
1713358433615459800,16.2784599609375,-0.8407437801361084,-0.063995361328125,0.3773733377456665
1713358433625408500,16.288408447265624,-0.40636658668518066,-0.34525585174560547,-0.2852194905281067
1713358433635388000,16.298387939453125,0.2897474765777588,-0.19730377197265625,-1.420576572418213
1713358433645367000,16.308366943359374,0.39828360080718994,0.12441158294677734,-2.740640163421631
1713358433655316000,16.31831591796875,-0.03696930408477783,0.37216758728027344,-4.128423690795898
1713358433665295000,16.328295166015625,-0.569064736366272,0.43102264404296875,-5.370733261108398
1713358433675274200,16.338274169921874,-1.1983298063278198,0.15236568450927734,-6.2999467849731445
1713358433685223200,16.34822314453125,-2.259639263153076,-0.4460916519165039,-6.818112373352051
1713358433695202300,16.358202392578125,-3.706221342086792,-1.019679069519043,-6.964412689208984
1713358433705181400,16.368181396484374,-5.021301746368408,-1.8980436325073242,-7.029792785644531
1713358433715130400,16.37813037109375,-6.131418228149414,-2.911672592163086,-6.177177906036377
1713358433725109500,16.388109619140625,-6.5583319664001465,-3.6736927032470703,-3.9865312576293945
1713358433735089000,16.3980888671875,-5.776980876922607,-4.446863174438477,-1.0052437782287598
1713358433745037600,16.40803759765625,-4.315874099731445,-4.911255836486816,1.8581442832946777
1713358433755016700,16.4180166015625,-3.480477809906006,-5.157676696777344,3.9967987537384033
1713358433764996000,16.42799609375,-4.2217488288879395,-4.66391658782959,5.88237190246582
1713358433774944800,16.43794482421875,-5.438632965087891,-3.6084957122802734,6.166686058044434
1713358433784924000,16.447923828125,-6.464440822601318,-2.578094482421875,6.368707656860352
1713358433794903300,16.4579033203125,-7.066812515258789,-1.3759965896606445,6.922942638397217
1713358433804852000,16.46785205078125,-7.130791187286377,0.11787033081054688,6.21584415435791
1713358433814831000,16.4778310546875,-6.203985691070557,0.8743782043457031,4.4797234535217285
1713358433824780000,16.487780029296875,-4.6588287353515625,0.8181390762329102,2.457317352294922
1713358433834759200,16.49775927734375,-2.324916124343872,0.5337457656860352,0.8634138703346252
1713358433844738600,16.507738525390625,0.3249438405036926,0.11341285705566406,-0.7314112782478333
1713358433854717700,16.5177177734375,2.1584537029266357,0.09716415405273438,-1.665700912475586
1713358433864666400,16.527666259765624,2.6307811737060547,0.6471080780029297,-1.7777444124221802
1713358433874645800,16.537645751953125,2.4192795753479004,1.1510286331176758,-0.8957469463348389
1713358433884625000,16.547625,1.8469693660736084,1.8025197982788086,-0.5569882392883301
1713358433894604300,16.557604248046875,1.650416374206543,2.414973258972168,-0.7004531025886536
1713358433904553000,16.567552978515625,1.2246618270874023,2.632777214050293,-0.5685238838195801
1713358433914532000,16.577531982421874,0.10008537769317627,2.294735908508301,0.1974683552980423
1713358433924511500,16.587511474609375,-0.8384116888046265,1.8108320236206055,0.6094101667404175
1713358433934460200,16.597460205078125,-1.4400696754455566,1.2798089981079102,0.6551953554153442
1713358433944439300,16.607439208984374,-1.5580816268920898,0.8071413040161133,0.6354198455810547
1713358433954418700,16.617418701171875,-1.5143003463745117,0.23284149169921875,0.34025856852531433
1713358433964367400,16.627367431640625,-1.5553897619247437,-0.08438491821289062,-0.21829381585121155
1713358433974346500,16.637346435546874,-2.0415496826171875,-0.20417213439941406,-0.6925957202911377
1713358433984326000,16.647325927734375,-2.119044780731201,-0.0833272933959961,-0.6880085468292236
