time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1713358566250000000,5.451999755859375,45,1.5,1.9468607902526855,14.92199993133545,0.5770730972290039,80.40279388427734,248,19.9162352,50.065789
1713358572394822400,11.596822509765625,45,1.5,1.7335461378097534,20.652999877929688,0.2346118986606598,75.74594116210938,251.1999969482422,19.9162437,50.065791
1713358572688325600,11.89032568359375,45,1.5,1.7335461378097534,20.038999557495117,1.9149004220962524,117.77135467529297,251.1999969482422,19.9163637,50.0657438
1713358573882296600,13.084296630859376,45,0.4112319350242615,1.743527889251709,18.02199935913086,1.2160440683364868,176.49778747558594,251.1999969482422,19.9163728,50.0657308
1713358574540398600,13.742398681640625,45,0.27420687675476074,1.743527889251709,17.138999938964844,1.1921247243881226,159.92831420898438,251.1999969482422,19.9163801,50.0657271
1713358575088634600,14.290634521484375,45,0.2164076417684555,1.7538625001907349,16.690000534057617,1.2021832466125488,149.43563842773438,251.1999969482422,19.9163865,50.0657248
1713358575886723800,15.088723876953125,45,0.2925776243209839,1.7538625001907349,16.524999618530273,1.2031316757202148,144.66815185546875,251.1999969482422,19.9163938,50.0657209
1713358576264832000,15.46683203125,45,0.20681725442409515,1.7646211385726929,14.75100040435791,1.216482400894165,133.2334747314453,251.1999969482422,19.916398,50.0657205
1713358576942773500,16.1447734375,45,0.25220218300819397,1.7646211385726929,15.01200008392334,1.2157498598098755,130.413330078125,251.1999969482422,19.9164054,50.0657183
1713358577480695600,16.682695556640624,45,0.2563553750514984,1.7776901721954346,15.227999687194824,1.2312253713607788,126.1038589477539,251.1999969482422,19.9164121,50.0657172
1713358577658616600,16.860616455078127,45,0.2563553750514984,1.5852471590042114,15.42199993133545,1.2310477495193481,125.54412841796875,251.1999969482422,19.9164121,50.0657187
1713358578169266200,17.37126611328125,45,0.2274753451347351,1.5852471590042114,15.062999725341797,1.2466834783554077,119.79584503173828,251.1999969482422,19.9164529,50.0657131
1713358578687330600,17.88933056640625,45,0.26800042390823364,1.595048189163208,14.64900016784668,1.2415571212768555,120.07880401611328,251.1999969482422,19.9164651,50.0657128
1713358579365721600,18.5677216796875,45,0.23336662352085114,1.595048189163208,14.390000343322754,1.2246767282485962,118.7724380493164,251.1999969482422,19.9164774,50.0657112
1713358579884237800,19.08623779296875,45,0.27978843450546265,1.606134295463562,14.140999794006348,1.2286021709442139,117.32317352294922,251.1999969482422,19.916486,50.0657099
1713358580561652200,19.76365234375,45,0.24254141747951508,1.606134295463562,13.904000282287598,1.2396316528320312,112.90733337402344,251.1999969482422,19.9164983,50.0657081
1713358581060619000,20.262618896484376,45,0.19713343679904938,1.6172858476638794,13.628999710083008,1.2214322090148926,111.01806640625,251.1999969482422,19.9165089,50.0657077
1713358581727958000,20.9299580078125,45,0.2466254085302353,1.6172858476638794,13.027999877929688,1.2220640182495117,111.93022155761719,251.1999969482422,19.916521,50.0657063
1713358582266406000,21.468406005859375,45,0.23131120204925537,1.6292040348052979,12.711999893188477,1.2294913530349731,110.65372467041016,251.1999969482422,19.916532,50.0657057
1713358582443900000,21.64589990234375,45,0.23131120204925537,1.8805289268493652,12.833000183105469,1.2293182611465454,110.1787338256836,251.1999969482422,19.916534,50.0657064
1713358582944870700,22.14687060546875,45,0.2672969698905945,1.8805289268493652,12.343000411987305,1.2036293745040894,113.92835998535156,251.1999969482422,19.9165433,50.0657056
1713358583502855400,22.70485546875,45,0.24128365516662598,1.8944915533065796,12.477999687194824,1.187790870666504,115.28301239013672,251.1999969482422,19.9165444,50.0657062
1713358584140824600,23.342824462890626,45,0.2394951581954956,1.8944915533065796,12.550999641418457,1.1083488464355469,110.93566131591797,251.1999969482422,19.9165503,50.0657057
1713358585148433400,24.350433349609375,45,0.30383583903312683,1.8979507684707642,12.694000244140625,0.9701428413391113,109.66419219970703,251.1999969482422,19.916562,50.0657043
